,Country/Region,DeathRate,VaccineRate,ratioRates,name,region
53,France,0.36437685885511445,3.0300366790083695,0.12025493334105873,France,Europe
54,Gabon,0.01568620079769142,0.09738691614215234,0.16107092635313364,Gabon,Africa
55,Gambia,0.020868018627702156,0.10501148785187467,0.19872129282786483,Gambia,Africa
56,Georgia,0.3322466870872573,0.4817020892445844,0.6897347852659176,Georgia,Asia
57,Germany,0.2286344956133874,2.653204009133999,0.08617297984862207,Germany,Europe
58,Ghana,0.006217964103504176,0.08747312663166036,0.07108427860007033,Ghana,Africa
59,Greece,0.26110281453621376,1.2128055136885805,0.21528828125303093,Greece,Europe
60,Grenada,0.06625286376471842,0.6034684852682615,0.10978678320752219,Grenada,Americas
61,Guatemala,0.12225681920288602,0.46870173924298086,0.2608414028937634,Guatemala,Americas
62,Guinea,0.0038965895573886355,0.16670369870882118,0.023374343746234146,Guinea,Africa
63,Guyana,0.14339157663408345,0.7820112675698506,0.1833625455035729,Guyana,Americas
64,Haiti,0.008560121879626365,0.00980706359927872,0.8728526936702987,Haiti,Americas
65,Honduras,0.162683096015409,0.665114139260057,0.24459425294490778,Honduras,Americas
66,Hungary,0.64598788129598,1.2542593540191609,0.5150353307918096,Hungary,Europe
67,Iceland,0.019208027445057195,1.6707881087030336,0.01149638745033182,Iceland,Europe
68,India,0.05691007755852801,1.5167689607693002,0.03752059742155022,India,Asia
69,Indonesia,0.06902556121085986,1.3778617761831655,0.05009614346227714,Indonesia,Asia
70,Iran,0.2363299093508151,0.9665447880618215,0.24451004471786475,Iran,Asia
71,Iraq,0.09819851107074122,0.22223000249351227,0.4418778291360907,Iraq,Asia
72,Ireland,0.21803977832609397,1.4790339797710534,0.14742039825200323,Ireland,Europe
73,Israel,0.16802052700939574,1.8302924336035753,0.09179982604123438,Israel,Asia
74,Italy,0.4475941556795247,2.956694545804369,0.15138329264166742,Italy,Europe
75,Jamaica,0.09140289846660743,0.3048191807531073,0.2998594059625156,Jamaica,Americas
76,Japan,0.024426935943682167,1.4814757870783886,0.016488245138217488,Japan,Asia
77,Jordan,0.2047107979137045,0.7280281087106006,0.2811852941725899,Jordan,Asia
78,Kazakhstan,0.11687525919825273,1.6641779205368246,0.07023002634270711,Kazakhstan,Asia
79,Kenya,0.015379125311784661,0.09549355970685178,0.16104882212995136,Kenya,Africa
80,Kiribati,0.0,0.5450818303273213,0.0,Kiribati,Oceania
81,Kuwait,0.10313758373585717,0.6231914456289182,0.16549903638643793,Kuwait,Asia
82,Kyrgyzstan,0.0699991104217304,0.2600572020226136,0.2691681286936385,Kyrgyzstan,Asia
83,Laos,0.00030972605628376446,0.6036532044375695,0.0005130860798996995,Laos,Asia
84,Latvia,0.28288925673924037,1.0106114083663054,0.2799189227405838,Latvia,Europe
85,Lebanon,0.2451630328317871,0.9620420951627983,0.25483607636763567,Lebanon,Asia
86,Lesotho,0.03936473810760239,0.2260499516593837,0.17414176742190995,Lesotho,Africa
87,Liberia,0.007156600086146266,0.07052393434370391,0.1014776068968021,Liberia,Africa
88,Libya,0.11403787318793707,0.2706413752839124,0.421361564056151,Libya,Africa
89,Liechtenstein,0.3239048942249718,1.2742548562141192,0.2541916106070892,Liechtenstein,Europe
90,Lithuania,0.35173569424086853,2.484636178158168,0.14156426495472113,Lithuania,Europe
91,Luxembourg,0.2786377018467303,1.3008647387940813,0.21419421523027146,Luxembourg,Europe
92,Madagascar,0.006577438216049506,0.020363095389000337,0.32300777904338074,Madagascar,Africa
93,Malawi,0.01800012232304475,0.06440022018148055,0.27950404940107665,Malawi,Africa
94,Malaysia,0.07255728595799799,3.0571206681710614,0.023733863930665768,Malaysia,Asia
95,Maldives,0.0721256624077056,1.381272007245214,0.052216842178356905,Maldives,Asia
96,Mali,0.005446644188327732,0.02876344004105749,0.18935997156644294,Mali,Africa
97,Malta,0.20792303338992643,1.9781754385964911,0.10510849004244392,Malta,Europe
98,Marshall Islands,0.0,0.7091749776405272,0.0,Marshall Islands,Oceania
99,Mauritania,0.026746684797447413,0.2785639565075405,0.09601631572433314,Mauritania,Africa
100,Mauritius,0.0064945682079016465,1.3565307277500904,0.0047876307370297334,Mauritius,Africa
101,Mexico,0.4026431237786456,0.9139896289138812,0.4405335805146032,Mexico,Americas
102,Moldova,0.3336867301838606,0.37268884659699913,0.8953493865747132,Moldova,Europe
